source,id,name,description,type,dependencies,registry_dependencies,official_url,registry_json,files
Aceternity UI,background-gradient,Background Gradient,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/background-gradient,not publicly exposed as complete registry,
Aceternity UI,background-gradient-animation,Background Gradient Animation,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/background-gradient-animation,not publicly exposed as complete registry,
Aceternity UI,background-lines,Background Lines,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/background-lines,not publicly exposed as complete registry,
Aceternity UI,background-ripple-effect,Background Ripple Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/background-ripple-effect,not publicly exposed as complete registry,
Aceternity UI,bento-grid,Bento Grid,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/bento-grid,not publicly exposed as complete registry,
Aceternity UI,canvas-reveal-effect,Canvas Reveal Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/canvas-reveal-effect,not publicly exposed as complete registry,
Aceternity UI,canvas-text,Canvas Text,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/canvas-text,not publicly exposed as complete registry,
Aceternity UI,card-hover-effect,Card Hover Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/card-hover-effect,not publicly exposed as complete registry,
Aceternity UI,card-spotlight,Card Spotlight,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/card-spotlight,not publicly exposed as complete registry,
Aceternity UI,card-stack,Card Stack,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/card-stack,not publicly exposed as complete registry,
Aceternity UI,cards-free,Cards Free,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/cards-free,not publicly exposed as complete registry,
Aceternity UI,carousel,Carousel,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/carousel,not publicly exposed as complete registry,
Aceternity UI,chromatic-image,Chromatic Image,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/chromatic-image,not publicly exposed as complete registry,
Aceternity UI,cloud-shader,Cloud Shader,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/cloud-shader,not publicly exposed as complete registry,
Aceternity UI,code-block,Code Block,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/code-block,not publicly exposed as complete registry,
Aceternity UI,colourful-text,Colourful Text,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/colourful-text,not publicly exposed as complete registry,
Aceternity UI,comet-card,Comet Card,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/comet-card,not publicly exposed as complete registry,
Aceternity UI,compare,Compare,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/compare,not publicly exposed as complete registry,
Aceternity UI,container-cover,Container Cover,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/container-cover,not publicly exposed as complete registry,
Aceternity UI,container-scroll-animation,Container Scroll Animation,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/container-scroll-animation,not publicly exposed as complete registry,
Aceternity UI,container-text-flip,Container Text Flip,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/container-text-flip,not publicly exposed as complete registry,
Aceternity UI,direction-aware-hover,Direction Aware Hover,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/direction-aware-hover,not publicly exposed as complete registry,
Aceternity UI,dither-shader,Dither Shader,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/dither-shader,not publicly exposed as complete registry,
Aceternity UI,dotted-glow-background,Dotted Glow Background,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/dotted-glow-background,not publicly exposed as complete registry,
Aceternity UI,draggable-card,Draggable Card,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/draggable-card,not publicly exposed as complete registry,
Aceternity UI,encrypted-text,Encrypted Text,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/encrypted-text,not publicly exposed as complete registry,
Aceternity UI,evervault-card,Evervault Card,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/evervault-card,not publicly exposed as complete registry,
Aceternity UI,expandable-card,Expandable Card,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/expandable-card,not publicly exposed as complete registry,
Aceternity UI,feature-sections-free,Feature Sections Free,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/feature-sections-free,not publicly exposed as complete registry,
Aceternity UI,file-upload,File Upload,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/file-upload,not publicly exposed as complete registry,
Aceternity UI,flip-words,Flip Words,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/flip-words,not publicly exposed as complete registry,
Aceternity UI,floating-dock,Floating Dock,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/floating-dock,not publicly exposed as complete registry,
Aceternity UI,floating-navbar,Floating Navbar,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/floating-navbar,not publicly exposed as complete registry,
Aceternity UI,focus-cards,Focus Cards,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/focus-cards,not publicly exposed as complete registry,
Aceternity UI,following-pointer,Following Pointer,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/following-pointer,not publicly exposed as complete registry,
Aceternity UI,github-globe,Github Globe,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/github-globe,not publicly exposed as complete registry,
Aceternity UI,glare-card,Glare Card,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/glare-card,not publicly exposed as complete registry,
Aceternity UI,glowing-effect,Glowing Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/glowing-effect,not publicly exposed as complete registry,
Aceternity UI,glowing-stars-effect,Glowing Stars Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/glowing-stars-effect,not publicly exposed as complete registry,
Aceternity UI,gooey-input,Gooey Input,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/gooey-input,not publicly exposed as complete registry,
Aceternity UI,google-gemini-effect,Google Gemini Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/google-gemini-effect,not publicly exposed as complete registry,
Aceternity UI,grid-and-dot-backgrounds,Grid And Dot Backgrounds,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/grid-and-dot-backgrounds,not publicly exposed as complete registry,
Aceternity UI,hero-highlight,Hero Highlight,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/hero-highlight,not publicly exposed as complete registry,
Aceternity UI,hero-parallax,Hero Parallax,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/hero-parallax,not publicly exposed as complete registry,
Aceternity UI,hero-sections-free,Hero Sections Free,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/hero-sections-free,not publicly exposed as complete registry,
Aceternity UI,hover-border-gradient,Hover Border Gradient,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/hover-border-gradient,not publicly exposed as complete registry,
Aceternity UI,images-badge,Images Badge,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/images-badge,not publicly exposed as complete registry,
Aceternity UI,images-slider,Images Slider,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/images-slider,not publicly exposed as complete registry,
Aceternity UI,infinite-moving-cards,Infinite Moving Cards,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/infinite-moving-cards,not publicly exposed as complete registry,
Aceternity UI,keyboard,Keyboard,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/keyboard,not publicly exposed as complete registry,
Aceternity UI,lamp-effect,Lamp Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/lamp-effect,not publicly exposed as complete registry,
Aceternity UI,layout-grid,Layout Grid,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/layout-grid,not publicly exposed as complete registry,
Aceternity UI,layout-text-flip,Layout Text Flip,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/layout-text-flip,not publicly exposed as complete registry,
Aceternity UI,lens,Lens,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/lens,not publicly exposed as complete registry,
Aceternity UI,link-preview,Link Preview,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/link-preview,not publicly exposed as complete registry,
Aceternity UI,loader,Loader,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/loader,not publicly exposed as complete registry,
Aceternity UI,macbook-scroll,Macbook Scroll,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/macbook-scroll,not publicly exposed as complete registry,
Aceternity UI,magnetic-button,Magnetic Button,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/magnetic-button,not publicly exposed as complete registry,
Aceternity UI,meteors,Meteors,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/meteors,not publicly exposed as complete registry,
Aceternity UI,moving-border,Moving Border,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/moving-border,not publicly exposed as complete registry,
Aceternity UI,multi-step-loader,Multi Step Loader,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/multi-step-loader,not publicly exposed as complete registry,
Aceternity UI,navbar-menu,Navbar Menu,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/navbar-menu,not publicly exposed as complete registry,
Aceternity UI,noise-background,Noise Background,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/noise-background,not publicly exposed as complete registry,
Aceternity UI,notch,Notch,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/notch,not publicly exposed as complete registry,
Aceternity UI,parallax-hero-images,Parallax Hero Images,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/parallax-hero-images,not publicly exposed as complete registry,
Aceternity UI,parallax-scroll,Parallax Scroll,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/parallax-scroll,not publicly exposed as complete registry,
Aceternity UI,pixelated-canvas,Pixelated Canvas,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/pixelated-canvas,not publicly exposed as complete registry,
Aceternity UI,placeholders-and-vanish-input,Placeholders And Vanish Input,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/placeholders-and-vanish-input,not publicly exposed as complete registry,
Aceternity UI,pointer-highlight,Pointer Highlight,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/pointer-highlight,not publicly exposed as complete registry,
Aceternity UI,resizable-navbar,Resizable Navbar,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/resizable-navbar,not publicly exposed as complete registry,
Aceternity UI,scales,Scales,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/scales,not publicly exposed as complete registry,
Aceternity UI,shooting-stars-and-stars-background,Shooting Stars And Stars Background,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/shooting-stars-and-stars-background,not publicly exposed as complete registry,
Aceternity UI,sidebar,Sidebar,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/sidebar,not publicly exposed as complete registry,
Aceternity UI,signup-form,Signup Form,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/signup-form,not publicly exposed as complete registry,
Aceternity UI,sparkles,Sparkles,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/sparkles,not publicly exposed as complete registry,
Aceternity UI,spotlight,Spotlight,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/spotlight,not publicly exposed as complete registry,
Aceternity UI,spotlight-new,Spotlight New,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/spotlight-new,not publicly exposed as complete registry,
Aceternity UI,squiggly-text,Squiggly Text,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/squiggly-text,not publicly exposed as complete registry,
Aceternity UI,stateful-button,Stateful Button,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/stateful-button,not publicly exposed as complete registry,
Aceternity UI,sticky-banner,Sticky Banner,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/sticky-banner,not publicly exposed as complete registry,
Aceternity UI,sticky-scroll-reveal,Sticky Scroll Reveal,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/sticky-scroll-reveal,not publicly exposed as complete registry,
Aceternity UI,svg-mask-effect,Svg Mask Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/svg-mask-effect,not publicly exposed as complete registry,
Aceternity UI,tabs,Tabs,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/tabs,not publicly exposed as complete registry,
Aceternity UI,tailwindcss-buttons,Tailwindcss Buttons,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/tailwindcss-buttons,not publicly exposed as complete registry,
Aceternity UI,terminal,Terminal,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/terminal,not publicly exposed as complete registry,
Aceternity UI,text-flipping-board,Text Flipping Board,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/text-flipping-board,not publicly exposed as complete registry,
Aceternity UI,text-generate-effect,Text Generate Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/text-generate-effect,not publicly exposed as complete registry,
Aceternity UI,text-hover-effect,Text Hover Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/text-hover-effect,not publicly exposed as complete registry,
Aceternity UI,text-reveal-card,Text Reveal Card,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/text-reveal-card,not publicly exposed as complete registry,
Aceternity UI,timeline,Timeline,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/timeline,not publicly exposed as complete registry,
Aceternity UI,tooltip-card,Tooltip Card,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/tooltip-card,not publicly exposed as complete registry,
Aceternity UI,tracing-beam,Tracing Beam,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/tracing-beam,not publicly exposed as complete registry,
Aceternity UI,typewriter-effect,Typewriter Effect,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/typewriter-effect,not publicly exposed as complete registry,
Aceternity UI,vortex,Vortex,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/vortex,not publicly exposed as complete registry,
Aceternity UI,wavy-background,Wavy Background,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/wavy-background,not publicly exposed as complete registry,
Aceternity UI,webcam-pixel-grid,Webcam Pixel Grid,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/webcam-pixel-grid,not publicly exposed as complete registry,
Aceternity UI,wobble-card,Wobble Card,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/wobble-card,not publicly exposed as complete registry,
Aceternity UI,world-map,World Map,,docs component,site code tab; verify per component,,https://ui.aceternity.com/components/world-map,not publicly exposed as complete registry,
Cult UI,ai-instructions,Ai Instructions,"Manage and toggle AI instructions with a popover, search, and create-dialog",registry:ui,@hugeicons/core-free-icons; @hugeicons/react,,https://cult-ui.com/docs/components/ai-instructions,https://cult-ui.com/r/ai-instructions.json,registry/default/ui/ai-instructions.tsx
Cult UI,ai-instructions-demo,Ai Instructions Demo,,registry:component,,ai-instructions,https://cult-ui.com/docs/components/ai-instructions-demo,https://cult-ui.com/r/ai-instructions-demo.json,registry/default/example/ai-instructions-demo.tsx
Cult UI,animated-number,Animated Number,Number component with smooth counting animations and customizable formatting,registry:ui,motion,,https://cult-ui.com/docs/components/animated-number,https://cult-ui.com/r/animated-number.json,registry/default/ui/animated-number.tsx
Cult UI,animated-number-demo,Animated Number Demo,,registry:component,,animated-number,https://cult-ui.com/docs/components/animated-number-demo,https://cult-ui.com/r/animated-number-demo.json,registry/default/example/animated-number-demo.tsx
Cult UI,bg-animate-button,Bg Animate Button,Button component with animated background effects and gradient transitions,registry:ui,,,https://cult-ui.com/docs/components/bg-animate-button,https://cult-ui.com/r/bg-animate-button.json,registry/default/ui/bg-animate-button.tsx
Cult UI,bg-animate-button-demo,Bg Animate Button Demo,,registry:component,,bg-animate-button,https://cult-ui.com/docs/components/bg-animate-button-demo,https://cult-ui.com/r/bg-animate-button-demo.json,registry/default/example/bg-animate-button-demo.tsx
Cult UI,bg-animated-fractal-dot-grid,Bg Animated Fractal Dot Grid,Background animated fractal dot grid with performance optimization and responsive design,registry:ui,motion,,https://cult-ui.com/docs/components/bg-animated-fractal-dot-grid,https://cult-ui.com/r/bg-animated-fractal-dot-grid.json,registry/default/ui/bg-animated-fractal-dot-grid.tsx
Cult UI,bg-animated-fractal-dot-grid-demo,Bg Animated Fractal Dot Grid Demo,,registry:component,,bg-animated-fractal-dot-grid,https://cult-ui.com/docs/components/bg-animated-fractal-dot-grid-demo,https://cult-ui.com/r/bg-animated-fractal-dot-grid-demo.json,registry/default/example/bg-animated-fractal-dot-grid-demo.tsx
Cult UI,bg-animated-gradient,Bg Animated Gradient,Animated gradient background component with customizable color transitions,registry:ui,motion,,https://cult-ui.com/docs/components/bg-animated-gradient,https://cult-ui.com/r/bg-animated-gradient.json,registry/default/ui/bg-animated-gradient.tsx
Cult UI,bg-animated-gradient-demo,Bg Animated Gradient Demo,,registry:component,,bg-animated-gradient,https://cult-ui.com/docs/components/bg-animated-gradient-demo,https://cult-ui.com/r/bg-animated-gradient-demo.json,registry/default/example/bg-animated-gradient-demo.tsx
Cult UI,bg-image-texture,Bg Image Texture,Background texture component with multiple texture variants and customizable opacity,registry:ui,,,https://cult-ui.com/docs/components/bg-image-texture,https://cult-ui.com/r/bg-image-texture.json,registry/default/ui/bg-image-texture.tsx
Cult UI,bg-image-texture-demo,Bg Image Texture Demo,,registry:component,,bg-image-texture,https://cult-ui.com/docs/components/bg-image-texture-demo,https://cult-ui.com/r/bg-image-texture-demo.json,registry/default/example/bg-image-texture-demo.tsx
Cult UI,bg-media,Bg Media,Background media component with video/image support and overlay effects,registry:ui,,,https://cult-ui.com/docs/components/bg-media,https://cult-ui.com/r/bg-media.json,registry/default/ui/bg-media.tsx
Cult UI,bg-media-demo,Bg Media Demo,,registry:component,,bg-media,https://cult-ui.com/docs/components/bg-media-demo,https://cult-ui.com/r/bg-media-demo.json,registry/default/example/bg-media-demo.tsx
Cult UI,border-beam-button,Border Beam Button,Shadcn Button wrapped in Border Beam: animated border glow with compact icon and text variants,registry:ui,border-beam,button,https://cult-ui.com/docs/components/border-beam-button,https://cult-ui.com/r/border-beam-button.json,registry/default/ui/border-beam-button.tsx
Cult UI,border-beam-button-demo,Border Beam Button Demo,,registry:component,,border-beam-button,https://cult-ui.com/docs/components/border-beam-button-demo,https://cult-ui.com/r/border-beam-button-demo.json,registry/default/example/border-beam-button-demo.tsx
Cult UI,canvas-fractal-grid,Canvas Fractal Grid,Interactive canvas-based fractal dot grid with mouse tracking and wave effects,registry:ui,motion,,https://cult-ui.com/docs/components/canvas-fractal-grid,https://cult-ui.com/r/canvas-fractal-grid.json,registry/default/ui/canvas-fractal-grid.tsx
Cult UI,canvas-fractal-grid-demo,Canvas Fractal Grid Demo,,registry:component,,canvas-fractal-grid,https://cult-ui.com/docs/components/canvas-fractal-grid-demo,https://cult-ui.com/r/canvas-fractal-grid-demo.json,registry/default/example/canvas-fractal-grid-demo.tsx
Cult UI,choice-poll,Choice Poll,"Poll component with single or multiple selection, optional results, and keyboard navigation",registry:ui,@radix-ui/react-use-controllable-state; lucide-react,,https://cult-ui.com/docs/components/choice-poll,https://cult-ui.com/r/choice-poll.json,registry/default/ui/choice-poll.tsx
Cult UI,choice-poll-demo,Choice Poll Demo,,registry:component,,choice-poll,https://cult-ui.com/docs/components/choice-poll-demo,https://cult-ui.com/r/choice-poll-demo.json,registry/default/example/choice-poll-demo.tsx
Cult UI,code-block,Code Block,"A beautiful code block component with tabs, copy functionality, and smooth animations",registry:ui,motion,,https://cult-ui.com/docs/components/code-block,https://cult-ui.com/r/code-block.json,registry/default/ui/code-block.tsx
Cult UI,code-block-demo,Code Block Demo,,registry:component,,code-block,https://cult-ui.com/docs/components/code-block-demo,https://cult-ui.com/r/code-block-demo.json,registry/default/example/code-block-demo.tsx
Cult UI,color-picker,Color Picker,Interactive color picker component with HSL support and preset colors,registry:ui,motion,,https://cult-ui.com/docs/components/color-picker,https://cult-ui.com/r/color-picker.json,registry/default/ui/color-picker.tsx
Cult UI,color-picker-demo,Color Picker Demo,,registry:component,,color-picker,https://cult-ui.com/docs/components/color-picker-demo,https://cult-ui.com/r/color-picker-demo.json,registry/default/example/color-picker-demo.tsx
Cult UI,cosmic-button,Cosmic Button,"Animated button/link with cosmic gradient border effect, renders as anchor or button",registry:ui,,,https://cult-ui.com/docs/components/cosmic-button,https://cult-ui.com/r/cosmic-button.json,registry/default/ui/cosmic-button.tsx
Cult UI,cosmic-button-demo,Cosmic Button Demo,,registry:component,,cosmic-button,https://cult-ui.com/docs/components/cosmic-button-demo,https://cult-ui.com/r/cosmic-button-demo.json,registry/default/example/cosmic-button-demo.tsx
Cult UI,cutout-card,Cutout Card,"Image card with cutout corners, hover motion, inset labels, pins, and reveal actions",registry:ui,motion; @radix-ui/react-use-controllable-state,,https://cult-ui.com/docs/components/cutout-card,https://cult-ui.com/r/cutout-card.json,registry/default/ui/cutout-card.tsx
Cult UI,cutout-card-demo,Cutout Card Demo,,registry:component,,cutout-card,https://cult-ui.com/docs/components/cutout-card-demo,https://cult-ui.com/r/cutout-card-demo.json,registry/default/example/cutout-card-demo.tsx
Cult UI,direction-aware-tabs,Direction Aware Tabs,Tab component with direction-aware animations and smooth transitions,registry:ui,motion; react-use-measure,,https://cult-ui.com/docs/components/direction-aware-tabs,https://cult-ui.com/r/direction-aware-tabs.json,registry/default/ui/direction-aware-tabs.tsx
Cult UI,direction-aware-tabs-demo,Direction Aware Tabs Demo,,registry:component,,direction-aware-tabs,https://cult-ui.com/docs/components/direction-aware-tabs-demo,https://cult-ui.com/r/direction-aware-tabs-demo.json,registry/default/example/direction-aware-tabs-demo.tsx
Cult UI,distorted-glass,Distorted Glass,A glass morphism effect component using SVG filters with fractal noise to create visual transitions between sections,registry:ui,,,https://cult-ui.com/docs/components/distorted-glass,https://cult-ui.com/r/distorted-glass.json,registry/default/ui/distorted-glass.tsx
Cult UI,distorted-glass-demo,Distorted Glass Demo,,registry:component,,distorted-glass,https://cult-ui.com/docs/components/distorted-glass-demo,https://cult-ui.com/r/distorted-glass-demo.json,registry/default/example/distorted-glass-demo.tsx
Cult UI,dither-image,Dither Image,"Compound Next.js image figure with CSS Bayer dither via dither-plugin, partial reveal overlays, and typed tuning props",registry:ui,dither-plugin,,https://cult-ui.com/docs/components/dither-image,https://cult-ui.com/r/dither-image.json,registry/default/ui/dither-image.tsx
Cult UI,dither-image-demo,Dither Image Demo,,registry:component,,dither-image,https://cult-ui.com/docs/components/dither-image-demo,https://cult-ui.com/r/dither-image-demo.json,registry/default/example/dither-image-demo.tsx
Cult UI,dither-image-demo-upload,Dither Image Demo Upload,,registry:component,,dither-image,https://cult-ui.com/docs/components/dither-image-demo-upload,https://cult-ui.com/r/dither-image-demo-upload.json,registry/default/example/dither-image-demo-upload.tsx
Cult UI,dock,Dock,macOS-style dock component with hover effects and smooth animations,registry:ui,motion,,https://cult-ui.com/docs/components/dock,https://cult-ui.com/r/dock.json,registry/default/ui/dock.tsx
Cult UI,dock-demo,Dock Demo,,registry:component,,dock,https://cult-ui.com/docs/components/dock-demo,https://cult-ui.com/r/dock-demo.json,registry/default/example/dock-demo.tsx
Cult UI,dynamic-island,Dynamic Island,iOS-style dynamic island component with expandable content and smooth animations,registry:ui,motion,,https://cult-ui.com/docs/components/dynamic-island,https://cult-ui.com/r/dynamic-island.json,registry/default/ui/dynamic-island.tsx
Cult UI,dynamic-island-demo,Dynamic Island Demo,,registry:component,,dynamic-island,https://cult-ui.com/docs/components/dynamic-island-demo,https://cult-ui.com/r/dynamic-island-demo.json,registry/default/example/dynamic-island-demo.tsx
Cult UI,edge-blur,Edge Blur,Stacked backdrop-blur layers with a gradient mask for soft top or bottom screen edges,registry:ui,,,https://cult-ui.com/docs/components/edge-blur,https://cult-ui.com/r/edge-blur.json,registry/default/ui/edge-blur.tsx
Cult UI,edge-blur-demo,Edge Blur Demo,,registry:component,,edge-blur,https://cult-ui.com/docs/components/edge-blur-demo,https://cult-ui.com/r/edge-blur-demo.json,registry/default/example/edge-blur-demo.tsx
Cult UI,expandable,Expandable,Expandable component system with smooth animations and customizable presets,registry:ui,motion,,https://cult-ui.com/docs/components/expandable,https://cult-ui.com/r/expandable.json,registry/default/ui/expandable.tsx
Cult UI,expandable-demo,Expandable Demo,,registry:component,,expandable,https://cult-ui.com/docs/components/expandable-demo,https://cult-ui.com/r/expandable-demo.json,registry/default/example/expandable-demo.tsx
Cult UI,expandable-screen,Expandable Screen,A full-screen expandable component with morphing animations using shared layout IDs for smooth transitions,registry:ui,motion; lucide-react,,https://cult-ui.com/docs/components/expandable-screen,https://cult-ui.com/r/expandable-screen.json,registry/default/ui/expandable-screen.tsx
Cult UI,expandable-screen-demo,Expandable Screen Demo,,registry:component,,expandable-screen; button; input; label; select; textarea,https://cult-ui.com/docs/components/expandable-screen-demo,https://cult-ui.com/r/expandable-screen-demo.json,registry/default/example/expandable-screen-demo.tsx
Cult UI,family-button,Family Button,Button component with family-style design and interactive hover effects,registry:ui,,,https://cult-ui.com/docs/components/family-button,https://cult-ui.com/r/family-button.json,registry/default/ui/family-button.tsx
Cult UI,family-button-demo,Family Button Demo,,registry:component,,family-button,https://cult-ui.com/docs/components/family-button-demo,https://cult-ui.com/r/family-button-demo.json,registry/default/example/family-button-demo.tsx
Cult UI,family-drawer,Family Drawer,"A multi-view drawer component with smooth animations, view navigation, and customizable content views",registry:ui,motion; react-use-measure; vaul; @radix-ui/react-slot,,https://cult-ui.com/docs/components/family-drawer,https://cult-ui.com/r/family-drawer.json,registry/default/ui/family-drawer.tsx
Cult UI,family-drawer-demo,Family Drawer Demo,,registry:component,,family-drawer,https://cult-ui.com/docs/components/family-drawer-demo,https://cult-ui.com/r/family-drawer-demo.json,registry/default/example/family-drawer-demo.tsx
Cult UI,feature-carousel,Feature Carousel,Feature carousel component with smooth transitions and customizable layouts,registry:ui,motion,,https://cult-ui.com/docs/components/feature-carousel,https://cult-ui.com/r/feature-carousel.json,registry/default/ui/feature-carousel.tsx
